channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
윤자동,56000,2025-11-13,2198,KR,https://www.youtube.com/channel/UCYg51KBo-UcA4QILcYl5LEw,UCYg51KBo-UcA4QILcYl5LEw
Mr. B's Brain,20300,2025-01-21,2861,US,https://www.youtube.com/channel/UCn2LD5eMhTMeCBa8Tr70qQg,UCn2LD5eMhTMeCBa8Tr70qQg
캐치TV,365000,,,KR,https://www.youtube.com/channel/UC5YKCgA3WR9NBQNQTs7BTsA,UC5YKCgA3WR9NBQNQTs7BTsA
유훈식 교수 : AI4UX,9660,2025-11-16,429,KR,https://www.youtube.com/channel/UCrlnpSPPleMT-nVpNiWKnJA,UCrlnpSPPleMT-nVpNiWKnJA
Brandon 3D,71700,2025-10-30,2044,US,https://www.youtube.com/channel/UCGjfA1YYb7NQ5ssb_rokO5g,UCGjfA1YYb7NQ5ssb_rokO5g
SF Productions,70800,2025-11-17,4892,US,https://www.youtube.com/channel/UC-KUVyGTTloIDDHZ2rpaE5w,UC-KUVyGTTloIDDHZ2rpaE5w
AZTechnology,47000,2025-09-21,5290,KR,https://www.youtube.com/channel/UCpp1xltFiMwO1BHTHwuS7UA,UCpp1xltFiMwO1BHTHwuS7UA
병우쌤의 다락방 BW's Darakbang,24000,2025-11-17,4933,KR,https://www.youtube.com/channel/UCRsaWGh4p0WgazHjzymWbDw,UCRsaWGh4p0WgazHjzymWbDw
ArisLab,10000,2025-10-22,5137,,https://www.youtube.com/channel/UCHBFuR1KlgiveQa0fFfMvzg,UCHBFuR1KlgiveQa0fFfMvzg
놀고 싶은 노리_Nori the Playful,15700,2025-11-16,5652,KR,https://www.youtube.com/channel/UChlaPXU4xCwTcDgM42gbGKg,UChlaPXU4xCwTcDgM42gbGKg
인공지능 한이룸,35600,2025-11-14,1903,KR,https://www.youtube.com/channel/UCUxQ8mc0TJZP9NC1Wj9NUOg,UCUxQ8mc0TJZP9NC1Wj9NUOg
Knightcube 3D,270000,2025-11-18,19457,IN,https://www.youtube.com/channel/UCvB2-KQUEwXSrzX4-lhEfPg,UCvB2-KQUEwXSrzX4-lhEfPg
연시 yeonsi,9210,2025-11-15,10818,KR,https://www.youtube.com/channel/UCJO_lRBNAWWuUwqDYJeq9jw,UCJO_lRBNAWWuUwqDYJeq9jw
Roger Coles | Canva Verified Expert,13700,,,,https://www.youtube.com/channel/UCjMIYYgg4sOrPCs49c9meFQ,UCjMIYYgg4sOrPCs49c9meFQ
Untiler ,6040,2025-10-10,1140,,https://www.youtube.com/channel/UC6XhvHAEI38-qcjnbuYL4LQ,UC6XhvHAEI38-qcjnbuYL4LQ
The CG Essentials,173000,2021-09-03,18510,US,https://www.youtube.com/channel/UCqiJI3COVDqxJnJoVkCiEUg,UCqiJI3COVDqxJnJoVkCiEUg
사장못,11000,2025-11-17,26185,KR,https://www.youtube.com/channel/UCRDPaqZ135wEqBlMTHQc9Ig,UCRDPaqZ135wEqBlMTHQc9Ig
드로우앤드류,709000,2025-11-17,17246,KR,https://www.youtube.com/channel/UCCU2H8fnVx20POKCzFm-G5Q,UCCU2H8fnVx20POKCzFm-G5Q
Carbon,38400,2025-10-01,91398,US,https://www.youtube.com/channel/UCMOBdfLjLT-PzrGzld8GjRw,UCMOBdfLjLT-PzrGzld8GjRw
이르키 | iRKi,8050,2025-10-13,3512,KR,https://www.youtube.com/channel/UCdP0FJ2Z8dbl1fu6NjDJryA,UCdP0FJ2Z8dbl1fu6NjDJryA
퀀텀점프클럽 QuantumJumpClub(QJC) ,20400,2025-11-17,484,,https://www.youtube.com/channel/UCifUR1eEHhhXxK_Q_XoArPQ,UCifUR1eEHhhXxK_Q_XoArPQ
GROW with ME ,378000,2025-11-12,36470,IN,https://www.youtube.com/channel/UC_lMHnKnRGNlnC6SsTHEKMg,UC_lMHnKnRGNlnC6SsTHEKMg
