channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
CONNECT AI LAB,55800,2025-11-16,3774,KR,https://www.youtube.com/channel/UCdLZ0MsYS4hmqFgOYCB6C9w,UCdLZ0MsYS4hmqFgOYCB6C9w
좋아하는 일로 먹고 살기,37300,2025-11-16,1950,KR,https://www.youtube.com/channel/UCs9CAWTWvoroM95k7hne8wg,UCs9CAWTWvoroM95k7hne8wg
미유 (MIUU AI) 룩북 SPORTS LOOKBOOK AIルックブック,1060000,2025-11-17,22479,KR,https://www.youtube.com/channel/UC7XSjA2Oaxhhz-oWyQ-aKMw,UC7XSjA2Oaxhhz-oWyQ-aKMw
Nik Kottmann,85200,2025-02-26,5721,CH,https://www.youtube.com/channel/UCe6EmNalhVPvt1nOL37jxEA,UCe6EmNalhVPvt1nOL37jxEA
SILKROAD Project,30400,2025-11-14,1198,CA,https://www.youtube.com/channel/UC2t1iUBVNHcK9v1h7E4Q8Ag,UC2t1iUBVNHcK9v1h7E4Q8Ag
3D PEN DEN,7290,2025-11-14,365,US,https://www.youtube.com/channel/UCM-h_96qprsaQD0hSypq5JA,UCM-h_96qprsaQD0hSypq5JA
Jimmy Vegas,158000,2025-11-14,0,GB,https://www.youtube.com/channel/UCRMXHQ2rJ9_0CHS7mhL7erg,UCRMXHQ2rJ9_0CHS7mhL7erg
안콜3D,36700,2025-11-16,1554,KR,https://www.youtube.com/channel/UC63C3GOhuFz1yJPOavscPCw,UC63C3GOhuFz1yJPOavscPCw
Hoodie Mentor,30400,2025-10-28,1411,US,https://www.youtube.com/channel/UCdSHeXq9QS_QZ8xfSdnA2Pg,UCdSHeXq9QS_QZ8xfSdnA2Pg
인프런 inflearn,33900,2025-11-07,919,KR,https://www.youtube.com/channel/UC0Y0T9JpgIBbyGDjvy9PbOg,UC0Y0T9JpgIBbyGDjvy9PbOg
코드깎는노인,44700,2025-11-16,6870,KR,https://www.youtube.com/channel/UCRpOIr-NJpK9S483ge20Pgw,UCRpOIr-NJpK9S483ge20Pgw
Two Star,532000,2025-10-15,33494,US,https://www.youtube.com/channel/UC0szxwii-u4CZkJIt2iu4_A,UC0szxwii-u4CZkJIt2iu4_A
 YTN,5220000,2025-11-17,228,KR,https://www.youtube.com/channel/UChlgI3UHCOnwUGzWzbJ3H5w,UChlgI3UHCOnwUGzWzbJ3H5w
FANTAZY PICK(판타지픽),22100,2025-11-11,697,,https://www.youtube.com/channel/UCifwGh3Rtr_dl5ObHSfTw2Q,UCifwGh3Rtr_dl5ObHSfTw2Q
SG Unreal Creation,13900,2025-07-03,426,IN,https://www.youtube.com/channel/UCTA7ggbDBcF30GeSDysBoGg,UCTA7ggbDBcF30GeSDysBoGg
호구와트 Hoguwarts,286000,2025-11-16,9621,KR,https://www.youtube.com/channel/UCuLrch6Zk2vClK7EGNRRXtQ,UCuLrch6Zk2vClK7EGNRRXtQ
Vfx Nanu,41100,2025-11-17,31,,https://www.youtube.com/channel/UC3DNbuz9hQYlt01sH3EdY_w,UC3DNbuz9hQYlt01sH3EdY_w
Levi Magony,140000,2025-08-27,3625872,HU,https://www.youtube.com/channel/UC-qC-Fmxe949YVQrOYb8NrA,UC-qC-Fmxe949YVQrOYb8NrA
3D MAX 독학애니메이션,8920,2025-11-10,1705,KR,https://www.youtube.com/channel/UCSG0frFhhAerPYbA392cmhA,UCSG0frFhhAerPYbA392cmhA
